Tipo_Error;DNI;Fecha;Email
DNI;999999;18/06/2020; 
F_AFIL;10101010;18/06/2020;correosingmail 
U_CUOTA;10203040;18/06/2020; 
U_CUOTA;12345678;18/06/2020;sofia@gmail.com 
F_NAC;13131313;18/06/2020; 
U_CUOTA;20202020;18/06/2020;usuario@gmail. 
U_CUOTA;20304050;18/06/2020; 
U_CUOTA;23456789;18/06/2020; 
SEXO;24242424;18/06/2020; 
U_CUOTA;30303030;18/06/2020;usuario@.gmail.com 
U_CUOTA;33445566;18/06/2020; 
U_CUOTA;35353535;18/06/2020; 
U_CUOTA;40404040;18/06/2020;us..uario@gmail.com 
F_NAC;46464646;18/06/2020; 
U_CUOTA;50505050;18/06/2020;usuario@@gmail.com 
F_AFIL;57575757;18/06/2020; 
U_CUOTA;60606060;18/06/2020;usuario@gmail.com.ar.extra.punto 
U_CUOTA;66778899;18/06/2020; 
U_CUOTA;68686868;18/06/2020; 
U_CUOTA;77889900;18/06/2020; 
F_NAC;79797979;18/06/2020; 
F_AFIL;80808080;18/06/2020;tutor@invalido. 
U_CUOTA;88990011;18/06/2020;padre.vargas@gmail.com 
F_AFIL;91919191;18/06/2020;@gmail.com 
U_CUOTA;99001122;18/06/2020; 
