DNI,TipoError,Fecha,EmailTutor
999999,DNI,04/06/2026,
10101010,EMAIL,04/06/2026,correosingmail
13131313,F_NAC,04/06/2026,
20202020,EMAIL,04/06/2026,usuario@gmail.
24242424,SEXO,04/06/2026,
30303030,EMAIL,04/06/2026,usuario@.gmail.com
35353535,PLAN,04/06/2026,
40404040,EMAIL,04/06/2026,us..uario@gmail.com
46464646,F_NAC,04/06/2026,
50505050,EMAIL,04/06/2026,usuario@@gmail.com
57575757,F_AFIL,04/06/2026,
60606060,EMAIL,04/06/2026,usuario@gmail.com.ar.extra.punto
68686868,U_CUOTA,04/06/2026,
79797979,EMAIL,04/06/2026,
80808080,EMAIL,04/06/2026,tutor@invalido.
91919191,EMAIL,04/06/2026,@gmail.com
