DNI;NombreApellido;FechaNac;Sexo;FechaAfiliacion;UltimaCuota;Estado;Plan;EmailTutor
999999;garcia pepe;15/03/1990;M;10/01/2020;01/05/2026;A;BASIC;
23456789;LOPEZ maria;22/07/1985;F;05/06/2018;15/05/2026;A;PREMIUM;
13131313;martinez JUAN;08/11/2017;M;12/09/2024;10/05/2026;A;BASIC;
24242424;fernandez ANA;30/04/1995;X;01/01/2021;10/05/2026;A;FAMILY;
35353535;rodriguez LUIS;14/06/1978;M;20/03/2015;05/05/2026;A;BASICO;
46464646;suarez MARTIN;05/02/2017;M;10/05/2024;01/05/2026;A;BASIC;
57575757;ibañez ROXANA;18/09/1987;F;22/03/2027;10/05/2026;A;PREMIUM;
68686868;molina FACUNDO;30/06/2000;M;15/08/2019;20/07/2026;A;VIP;
79797979;herrera JESSICA;11/04/2012;F;01/06/2024;05/05/2026;A;BASIC;
80808080;navarro ESTEBAN;27/11/2007;M;18/06/2023;18/05/2026;A;FAMILY;tutor@invalido.
91919191;vega JOAQUIN;22/05/2008;M;01/03/2023;17/05/2026;A;BASIC;@gmail.com
10101010;silva BEATRIZ;30/12/1998;F;05/07/2020;18/05/2026;A;BASIC;correosingmail
20202020;luna ROBERTO;14/07/1995;M;25/01/2019;30/05/2026;A;BASIC;usuario@gmail.
30303030;ponce DIANA;08/08/1990;F;19/03/2018;10/05/2026;A;BASIC;usuario@.gmail.com
40404040;castro ELENA;02/06/1985;F;17/09/2015;30/05/2026;A;BASIC;us..uario@gmail.com
50505050;romero DIEGO;31/12/1987;M;28/04/2019;03/05/2026;A;BASIC;usuario@@gmail.com
60606060;ortiz PATRICIA;16/08/1975;F;11/11/2012;21/05/2026;A;BASIC;usuario@gmail.com.ar.extra.punto
12345678;perez SOFIA;17/02/1995;F;05/05/2020;01/11/2020;A;BASIC;sofia@gmail.com
33445566;flores MARIANA;19/07/1982;F;25/02/2017;07/11/2020;A;VIP;
66778899;ruiz SEBASTIAN;07/04/1996;M;22/06/2018;25/10/2020;A;PREMIUM;
77889900;medina GRACIELA;14/09/1983;F;03/10/2018;09/11/2020;A;VIP;
88990011;vargas NICOLAS;21/03/2005;M;15/06/2019;15/10/2020;A;BASIC;padre.vargas@gmail.com
99001122;castro ELENA;02/06/1991;F;17/09/2015;30/10/2020;A;FAMILY;
10203040;romero DIEGO;31/12/1987;M;28/04/2019;03/11/2020;A;PREMIUM;
20304050;ortiz PATRICIA;16/08/1965;F;11/11/2012;10/11/2020;A;VIP;
