DNI;Apellidos y Nombres;Fecha Nacimiento;Sexo;Fecha Afiliacion;Fecha Ultima Cuota Paga;Estado;Plan;Email Tutor
25000001;gomez, JuAN carLOS;15/03/1985;M;10/01/2020;01/05/2026;A;PREMIUM;
30500002;LOPEZ, maria ELENA;22/07/1990;F;05/03/2021;01/05/2026;A;BASIC;
20300003;fernANDEZ, CARlos alberto;08/11/1975;M;15/06/2019;01/04/2026;A;VIP;
18700004;roDRIGuez, ANA paula;30/09/1995;F;20/08/2022;01/05/2026;A;FAMILY;
35200006;sanCHEZ, laura BEATRIZ;05/12/1980;F;10/10/2018;01/03/2026;B;PREMIUM;
28900007;DIAZ, roberto miguel;18/06/1970;O;25/04/2020;01/05/2026;A;VIP;
41800012;mora, SEBAStian;22/09/2010;M;01/06/2025;01/05/2026;A;PREMIUM;tutor.sebastian@gmail.com
40100005;MARTINEZ pedro Luis;12/04/2009;M;01/01/2025;01/05/2026;A;BASIC;pedro.tutor@hotmail.com.ar
500000;torres, pablo;01/01/2000;M;01/01/2020;01/01/2026;A;BASIC;
22300009;ruiz, ANA;15/13/1988;F;01/01/2021;01/01/2026;A;PREMIUM;
15400010;herrera, DIEGO;20/05/2020;M;01/01/2025;01/05/2026;A;BASIC;
33600011;CASTRO, valeria;10/02/1992;X;15/03/2021;01/05/2026;A;FAMILY;
27500013;vega, PATRICIA;30/04/1985;F;01/01/2016;01/05/2026;A;GOLD;
38900014;REYES, nicolas;15/07/1998;M;01/02/2023;01/06/2026;A;BASIC;
44100015;GIMENEZ juan;10/03/2009;M;01/03/2025;01/05/2026;A;FAMILY;
